RB010,RB020,RB030,RB050,RB050_F,RB080,RB080_F,RB081,RB081_F,RB082,RB082_F,RB090,RB090_F,RB200,RB200_F,RB211,RB211_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RB280,RB280_F,RB290,RB290_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020,vrMATSOCDEP,vrLOWJOB_nuevo,vrEU2030_nuevo,RCH010,RCH010_F,RCH020,RCH020_F,RC370,RC370_F,RC370B,RC370B_F,RC380,RC380_F,RC390,RC390_F
2024,ES,1557701,522.41046,1,1981,1,42,1,42,1,1,1,1,1,1,1, ,-2, ,-2,1557702,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557702,522.41046,1,1983,1,40,1,40,1,2,1,1,1,1,1, ,-2, ,-2,1557701,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557703,522.41046,1,2014,1,9,1,9,1,2,1,1,1,5,1,1557701,1,1557702,1, ,-2,1,1,1,1, ,-2,40,1,0,1,0,1,0,1,0,1,507.03468,1,0,0,0,0,0,1,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,1557704,522.41046,1,2020,1,3,1,4,1,2,1,1,1,5,1,1557701,1,1557702,1, ,-2,1,1,1,1,40,1, ,-2,0,1,0,1,0,1,0,1,501.60603,1,0,0,0,0,0,2,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,1557801,639.91583,1,1946,1,77,1,77,1,1,1,1,1,3,1, ,-2, ,-2,1557802,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557802,639.91583,1,1953,1,70,1,70,1,2,1,1,1,6,1, ,-2, ,-2,1557801,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557901,780.55349,1,1950,1,73,1,74,1,2,1,1,1,6,1, ,-2, ,-2,1557902,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557902,780.55349,1,1948,1,75,1,75,1,1,1,1,1,3,1, ,-2, ,-2,1557901,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558001,678.54981,1,1947,1,76,1,76,1,2,1,1,1,3,1, ,-2, ,-2,1558002,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558002,678.54981,1,1945,1,78,1,78,1,1,1,1,1,3,1, ,-2, ,-2,1558001,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558101,830.59643,1,1968,1,55,1,55,1,2,1,1,1,1,1, ,-2, ,-2,1558102,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558102,830.59643,1,1967,1,56,1,56,1,1,1,1,1,1,1, ,-2, ,-2,1558101,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558103,830.59643,1,1995,1,28,1,29,1,2,1,1,1,1,1,1558102,1,1558101,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558104,830.59643,1,2000,1,23,1,23,1,1,1,1,1,5,1,1558102,1,1558101,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558201,611.94682,1,1951,1,72,1,72,1,2,1,1,1,6,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558202,611.94682,1,1976,1,47,1,48,1,2,1,1,1,1,1, ,-2,1558201,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558203,611.94682,1,2007,1,16,1,16,1,1,1,1,1,5,1, ,-2,1558202,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1558204,611.94682,1,2009,1,14,1,15,1,1,1,1,1,5,1, ,-2,1558202,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0,1,1,3,1, ,-2, ,-2, ,-2, ,-2
